brand,title,seller,old_price,new_price
SONY,Console PlayStation 5 Midia Fisica Slim Branco 1TB Returnal e Ratchet e Clank Controle Sem Fio Dualsense Branco,Por Eshop ,4.998,3.695
SONY,Sony PlayStation 5 Slim Digital CFI-2000 1 TB Ratchet & Clank Rift Apart Returnal color branco,,3.600,300
SONY,Console Sony PlayStation 5 Digital Slim 1TB – Branco + Jogos Returnal e Ratchet & Clank + Controle Sem Fio DualSense Branco,,3.999,3.365
SONY,Playstation Ps5 Slim Standard + Jogos Ratchet Clank And Returnal Branco 1 Tb,,3.850,370
SONY,PlayStation 5 Pro PlayStation 5 Pro Sony 2024,Por Eshop ,8.200,6.190
SONY,Console PlayStation® 5 Slim Edição Digital 1TB Branco - Sony,,3.699,308
SONY,Console Sony Playstation 5 Slim Digital Branco 1tb + Jogos Ratchet And Clank E Returnal,Por Eshop ,4.400,3.454
SONY,Console Digital Ps5 Slim + Jogo Ratchet & Clank And Returnal: Branco,,4.271,3.758
SONY,Playstation 5 Ps5 Slim Midia Fisica E + Um Jogo Fc25 Fifa 25/gta 5/ Red Dead Redemption 2/ Spider Man/god Of War,,3.999,384
SONY,PlayStation 5 Slim Cor Branco 1 TB Versão Mídia Física,,4.149,398
SONY,Console Playstation 5 Pro 2tb 8k Branco Sony Ps5 Bivolt,Por Eshop ,8.500,6.490
SONY,Console Sony Playstation 5 Slim 1tb Bundle Ratchet & Clank And Returnal,Por Eshop ,4.694,3.940
SONY,Sony Console Playstation 5 Digital Slim Branco 1tb Returnal E Ratchet E Clank Controle Sem Fio Dualsense Branco,Por Webfones ,4.798,3.599
SONY,Console Playstation 5 Midia Fisica Slim Branco 1tb Returnal E Ratchet E Clank Controle Sem Fio Dualsense Branco,,4.998,480
SONY,Console Sony Playstation 5 Digital Slim 1tb  Branco + Jogos Returnal E Ratchet & Clank + Controle Sem Fio Dualsense Branco,Por Webfones ,4.999,416
SONY,Console Sony Playstation 5 Marvels Spider-man 2 Edição Limitada - Ps5 Com Leitor Edição Spider-man 2 Novo Lacrado A Pronta Entrega,,15.999,14.399
SONY,Console Digital Ps5 Slim + Jogo Ratchet & Clank And Returnal: Branco,,4.525,3.982
SONY,Sony PlayStation 5 825GB Marvel’s Spider Man 2 Limited Edition Mídia Física,,6.199,516
SONY,Sony PlayStation 5 Slim 1TB Standard cor branco,,4.299,358
SONY,Playstation 5 Slim Digital 1tb + 2 Controles Pronta Entrega - Ps5 Slim Digital 2 Controles Com Nota Fiscal E Garantia,,4.699,391
SONY,Console Sony Playstation 5 Slim Digital 1tb Bundle Ratchet & Clank And Returnal,Por Eshop ,4.704,3.590
SONY,Playstation 5 Ps5 Midia Fisica + Dois Controles + Um Jogo Fc25 Fifa 25/gta 5/ Red Dead Redemption 2/ Spider Man/god Of War,,4.499,432
SONY,Sony Ps5 Slim Digital Edição Limitada 30 Anos - Playstation 5 Slim Digital Edição 30 Anos A Pronta Entrega,,9.569,8.899
SONY,Ps5 Sony Slim Playstation 5 Digital 12 Meses Garantia,,3.948,329
SONY,Console Ps5 Playstation 5 Edição Limitada Spider Man 2- Com Jogo Lacrado,,4.999,416
SONY,"Console PlayStation 5 Slim Sony, SSD 1TB, Edição Digital, Com Controle Sem Fio DualSense, Branco + 2 Jogos Digitais",,4.100,394
SONY,Sony Playstation 5 825 Gb Ps5 + Ea Fc Fifa 25 + God Raganarok + Gta 5 + Mkt 11 + Resident Evil 4 + Red Dead 2 + Gran Turismo 7,,4.499,374
SONY,Sony Ps5 Slim Digital Edição Limitada 30 Anos - Playstation 5 Slim Digital Edição 30 Anos A Pronta Entrega,,10.150,845
SONY,Playstation 5 Slim Digital Ps5 2 Controles 12 Meses Garantia,,4.399,4.146
SONY,Console Playstation® 5 Slim Edição Digital 1tb Branco - Sony,,3.696,308
SONY,Ps5 Slim 1tb Digital Com 2 Controles - Playstation 5 Slim 1tb Doigital Pronta Entrega,,4.450,427
SONY,Console Sony Playstation 5 Digital Slim 1tb  Branco + Jogos Returnal E Ratchet & Clank + Controle Sem Fio Dualsense Branco,,3.649,350
SONY,Console Digital Sony Playstation 5 Ps5 Slim 1 Tb Para Console Ratchet & Clank Rift Apart  Returnal,,5.999,3.599
SONY,Sony PlayStation 5 Slim Cfi-2015b 1Tb 30º Aniversário Edição Limitada Cor Cinza 2024,,7.490,624
SONY,Console Playstation 5 Slim Digital Bundle Returnal + Ratchet & Clank,Por Webfones ,4.090,409
SONY,Sony Playstation 5 Slim Digital Edition Bundle 2 Jogos: Returnal + Ratchet - Ps5 Slim Digital,,4.300,358
SONY,Sony Playstation 5 825 Gb Ps5 + Ea Fc Fifa 25 + God Raganarok + Gta 5 + Mkt 11,,3.999,333
SONY,Console Ps5 Edição Especial Spider Man 2,,5.799,5.393
SONY,Playstation 5 (ps5) Slim 30th Anniversary Edition Ssd 1tb Novo - Cfi 2000 B30 Cinza,,8.399,807
SONY,Console Original Playstation 5 Pro 2tb 8k Branco Sony Ps5 Bivolt - Envio Imediato Com Nfe E 12 Meses De Garantia,,9.759,8.100
SONY,Console Playstation 5 Digital  1tb Returnal Ratchet Clank Branco,,4.200,350
SONY,Playstation 5 Slim Com Leitor Bluray + 2 Controles Sem Fio Originais - Ps5 Slim 2 Controles Com Nota Fiscal E Garantia,,5.099,424
SONY,Console Playstation 5 Pro Ssd Com 2tb Ps5 Pro + Nfe 2024 Novo Lacrado,,6.850,570
SONY,Console Ps5 Edição Especial Spider Man 2,,5.799,483
SONY,Sony Console Playstation 5 Digital Slim Branco 1tb,,3.799,365
SONY,Console Playstation 5 Pro Ssd Ps5 2tb 8k Wi-fi 7 Vvr Upscali,,6.799,6.323
SONY,Sony Playstation 5 Slim Digital Edição 30 Anos - Ps5 Slim Digital Edição Limitada 30 Anos,,9.599,922
SONY,Playstation Ps5 Console Slim Digital,,3.999,333
